filename,class,split,source_file,window_id,duration_ms,sample_rate,mfcc_file
C0000.wav,Cough,train,ab499046-2683-4a2d-8749-b229018df945.wav,8,1000,16000,C0000_mfcc.npy
B0000.wav,Background,train,3-161010-A-43.wav,7,1000,16000,B0000_mfcc.npy
B0001.wav,Background,train,5-177957-E-40.wav,8,1000,16000,B0001_mfcc.npy
B0002.wav,Background,train,2-50667-A-41.wav,3,1000,16000,B0002_mfcc.npy
H0000.wav,Human_Noise,train,2-81112-A-34.wav,0,1000,16000,H0000_mfcc.npy
H0001.wav,Human_Noise,train,2-85471-A-34.wav,8,1000,16000,H0001_mfcc.npy
C0001.wav,Cough,train,b3cbb0b0-dc01-4888-b6d7-bb4543b96b17.wav,0,1000,16000,C0001_mfcc.npy
C0002.wav,Cough,train,4a81c7e8-550d-43fe-b821-0126f7da1282.wav,2,1000,16000,C0002_mfcc.npy
B0003.wav,Background,train,3-158476-A-12.wav,1,1000,16000,B0003_mfcc.npy
C0003.wav,Cough,train,46d0cef1-31d0-4bd8-8660-143f32d82612.wav,2,1000,16000,C0003_mfcc.npy
C0004.wav,Cough,train,223139ca-f4f4-444b-bca0-343b67c1c880.wav,0,1000,16000,C0004_mfcc.npy
C0005.wav,Cough,train,1f4c1d84-8432-4f55-899f-96fd543ecd35.wav,16,1000,16000,C0005_mfcc.npy
C0006.wav,Cough,train,1f3cf027-3ec6-4592-9447-2e1e713742ee.wav,0,1000,16000,C0006_mfcc.npy
B0004.wav,Background,train,3-158476-A-12.wav,3,1000,16000,B0004_mfcc.npy
H0002.wav,Human_Noise,train,3-171937-A-34.wav,5,1000,16000,H0002_mfcc.npy
B0005.wav,Background,train,5-200461-A-11.wav,3,1000,16000,B0005_mfcc.npy
C0007.wav,Cough,train,f5946845-baca-4147-ae2b-b7c8dad8ac1d.wav,2,1000,16000,C0007_mfcc.npy
C0008.wav,Cough,train,88673db4-f8ac-46e1-b84a-f50b77dc5726.wav,0,1000,16000,C0008_mfcc.npy
C0009.wav,Cough,train,b7eab8ca-c046-463e-9f22-8f29f4768d10.wav,0,1000,16000,C0009_mfcc.npy
C0010.wav,Cough,train,1a9b5175-9d39-4b44-b95f-b26904d6d850.wav,7,1000,16000,C0010_mfcc.npy
C0011.wav,Cough,train,1c4d944f-3016-43fc-9715-ac6544d6face.wav,6,1000,16000,C0011_mfcc.npy
C0012.wav,Cough,train,b3cbb0b0-dc01-4888-b6d7-bb4543b96b17.wav,13,1000,16000,C0012_mfcc.npy
H0003.wav,Human_Noise,train,4-188003-A-34.wav,7,1000,16000,H0003_mfcc.npy
B0006.wav,Background,train,3-141240-B-44.wav,4,1000,16000,B0006_mfcc.npy
H0004.wav,Human_Noise,train,2-59241-A-35.wav,3,1000,16000,H0004_mfcc.npy
C0013.wav,Cough,train,88673db4-f8ac-46e1-b84a-f50b77dc5726.wav,2,1000,16000,C0013_mfcc.npy
B0007.wav,Background,train,5-243449-A-14.wav,8,1000,16000,B0007_mfcc.npy
C0014.wav,Cough,train,ab499046-2683-4a2d-8749-b229018df945.wav,13,1000,16000,C0014_mfcc.npy
C0015.wav,Cough,train,f5e42cfd-29d1-44da-95e4-366c7891f003.wav,7,1000,16000,C0015_mfcc.npy
C0016.wav,Cough,train,2fce4a79-29e7-43a0-bdf1-2a68fc03f7fa.wav,13,1000,16000,C0016_mfcc.npy
H0005.wav,Human_Noise,train,2-122820-A-36.wav,7,1000,16000,H0005_mfcc.npy
B0008.wav,Background,train,4-216211-A-14.wav,4,1000,16000,B0008_mfcc.npy
C0017.wav,Cough,train,e1dfd5a6-39de-47b9-aad5-2082dfd5fd98.wav,2,1000,16000,C0017_mfcc.npy
H0006.wav,Human_Noise,train,1-57163-A-38.wav,1,1000,16000,H0006_mfcc.npy
B0009.wav,Background,train,3-161010-A-43.wav,1,1000,16000,B0009_mfcc.npy
B0010.wav,Background,train,5-200461-A-11.wav,4,1000,16000,B0010_mfcc.npy
C0018.wav,Cough,train,42a87687-3854-4917-8b41-8aaa22b41e03.wav,5,1000,16000,C0018_mfcc.npy
C0019.wav,Cough,train,b7eab8ca-c046-463e-9f22-8f29f4768d10.wav,10,1000,16000,C0019_mfcc.npy
C0020.wav,Cough,train,096dad76-5bc7-4b7d-b534-29769e2e447a.wav,9,1000,16000,C0020_mfcc.npy
C0021.wav,Cough,train,cea7b534-832b-4c2c-b4d3-57037184e2ab.wav,9,1000,16000,C0021_mfcc.npy
H0007.wav,Human_Noise,train,5-252248-A-34.wav,1,1000,16000,H0007_mfcc.npy
B0011.wav,Background,train,3-141240-B-44.wav,1,1000,16000,B0011_mfcc.npy
H0008.wav,Human_Noise,train,5-182007-A-36.wav,3,1000,16000,H0008_mfcc.npy
B0012.wav,Background,train,2-135649-A-45.wav,6,1000,16000,B0012_mfcc.npy
B0013.wav,Background,train,2-37806-A-40.wav,6,1000,16000,B0013_mfcc.npy
H0009.wav,Human_Noise,train,1-23996-A-35.wav,8,1000,16000,H0009_mfcc.npy
C0022.wav,Cough,train,31048a20-6304-4d1e-9510-9f8c30821c6f.wav,11,1000,16000,C0022_mfcc.npy
H0010.wav,Human_Noise,train,4-194680-A-36.wav,2,1000,16000,H0010_mfcc.npy
C0023.wav,Cough,train,1f4c1d84-8432-4f55-899f-96fd543ecd35.wav,12,1000,16000,C0023_mfcc.npy
